Average of Active_energy,Date
13.13377315,2008-09-03
7.593888889,2008-09-04
10.11472222,2008-09-05
7.029143519,2008-09-06
4.52775463,2008-09-07
2.493796296,2008-09-08
7.576782407,2008-09-09
12.0231713,2008-09-10
15.0455787,2008-09-11
11.08453704,2008-09-12
6.264305556,2008-09-13
10.15006944,2008-09-14
11.56189815,2008-09-15
8.157893519,2008-09-16
7.161226852,2008-09-17
8.707060185,2008-09-18
7.657708333,2008-09-19
6.178009259,2008-09-20
7.509143519,2008-09-21
6.21787037,2008-09-22
7.262824074,2008-09-23
7.87650463,2008-09-24
5.976157407,2008-09-25
7.900347222,2008-09-26
10.99891204,2008-09-27
10.62828704,2008-09-28
9.010393519,2008-09-29
9.822060185,2008-09-30
13.87773148,2008-10-01
14.42145833,2008-10-02
11.07020833,2008-10-03
9.988958333,2008-10-04
8.710277778,2008-10-05
5.070023148,2008-10-06
7.732361111,2008-10-07
2.429305556,2008-10-08
6.937777778,2008-10-09
8.937939815,2008-10-10
16.17968387,2008-10-11
13.88515815,2008-10-12
9.243935185,2008-10-13
10.59694444,2008-10-14
11.75296296,2008-10-15
11.51157407,2008-10-16
11.28664352,2008-10-17
15.77766204,2008-10-18
13.58164352,2008-10-19
9.601087963,2008-10-20
13.57240741,2008-10-21
10.93229167,2008-10-22
12.27168981,2008-10-23
10.48594907,2008-10-24
7.746552136,2008-10-25
4.411018519,2008-10-26
4.418425926,2008-10-27
10.00451389,2008-10-28
14.91615741,2008-10-29
10.65694444,2008-10-30
7.385787037,2008-10-31
13.11270833,2008-11-01
12.46893519,2008-11-02
12.88844907,2008-11-03
10.05513889,2008-11-04
12.51087963,2008-11-05
6.482708333,2008-11-06
7.201805556,2008-11-07
2.659444444,2008-11-08
5.610578704,2008-11-09
8.313263889,2008-11-10
14.94340278,2008-11-11
10.04400463,2008-11-12
9.713888889,2008-11-13
10.19650463,2008-11-14
18.84800926,2008-11-15
16.56865741,2008-11-16
10.01800926,2008-11-17
11.45752315,2008-11-18
11.94696759,2008-11-19
13.25875,2008-11-20
11.19155093,2008-11-21
12.65819444,2008-11-22
23.64794997,2008-11-23
26.80483796,2008-11-24
21.68159722,2008-11-25
9.757569444,2008-11-26
16.74256944,2008-11-27
12.96092593,2008-11-28
14.25819444,2008-11-29
16.60217593,2008-11-30
19.80958333,2008-12-01
11.89372685,2008-12-02
10.44064815,2008-12-03
15.18534722,2008-12-04
7.137083333,2008-12-05
7.795046296,2008-12-06
5.460787037,2008-12-07
1.743333333,2008-12-08
8.476180556,2008-12-09
11.28125,2008-12-10
16.15686138,2008-12-11
11.59229167,2008-12-12
13.57826533,2008-12-13
